aspecto,dieta,ej_pos,ej_neg
costo,vegana,['faltar por mejorar y caro'],"['y no_ser no_para no_nada costoso , cuánto salir uno feria cerca de nuestro casa , con mucho verdura y legumbr']"
energía,ayuno,"['6:23 5-autofagia ( destrucción de célula viejo para crear aminoácido o materia primo para crear nuevo célula entre estar célula estar el de colágeno ) , longevidad ( puesto que al hacer ayuno él creer hormona o sustancia como el ampk y el sirtuina que más haber de disminuir el envejecimiento celular , yo hacer tener también más energía durante el día ) y performance cognitiva ( ayuda a que el neurona él comunicar más rápido y mejor ) 7:43 ¿ cuál ser el contra uno sola vez por día', 'además , yo haber sentir con uno poco más de energía y mejor ánimo que cuando hacer ayuno total sin azúcar', 'mi digestión haber mejorar mucho , mi sueño haber mejorar mucho']","['tener uno fuerza y vitalidad que no_tener no_', 'ánimo para el que empezar o sentir que no_poder no_más no_', '7:45 persona ectomorfas ( persona con dificultad para aumentar de peso ) ( ir a tener dificultad para aumentar de masa muscular porque cuando él hacer ayuno como él decir él consumir tejido como fuente de energía ser este uno efecto catabolico claro si él hacer el ayuno de 23/1 el dr recomendar por tanto que ser menos hora ) 8:27 cuidado con tu niveles de energía ( porque omad al ser uno ayuno de 23/1 él necesitar uno dieta de bajo indice glucemico , poco hidrato de carbono , pero haber que consumir mucho más caloría porque el metabolismo al hacer este él acelerar ) 9:47 3-embarazadas ( aún no_haber no_evidencia no_de que ser malo , pero no_bueno no_) no_10:04 4-exigir de más a yo propio organismo ( por el alto nivel de estrés y porque él él exigir de más el producción de energía cuando él hacer ayuno pero no_él no_él no_dar el estimulación para su producción real y no_él no_hacer no_ejercicio , no_él no_tomar no_vitamina ni mineral ; él creer energía forzar a el glandula suprarenal o tiroides él que hacer que él dañir porque no_haber no_abasto no_, por él que haber que consumir para el estres suplementos cómo : •cordyceps , rhodiola , reishi y ashwagandha para el glandula suprarenal']"
energía,flexible,['ánimo para seguir con el idea y mejorar él porque ser top .'],"['todo este no_tener no_que no_ver con el dieta pero si en el generación de uno batería de hormona que tener que ver con el estado de ánimo y el distinto ingestión de el alimento', 'ahora a nivel nutriciónal no_de no_cerca no_ser él mismo , si poner a dos persona uno con dieta limpio ( saludable ) y otro con flexible en el mismo circunstancia estar seguro que el de día limpio obtener muchosejorr resultado , el ciencia ayuda pero el problema en nutrición ser que mucho factor interfieren , el estudils no_poder no_ser no_tanto preciso , genético , edad , sueño , actividad , estrés , motivación ser mucho complicado decir que este funcionar para todo en mi caso no_servir no_, no_y si tu ser uno persona endomorfo o que tener resistencia a el insulina posiblemente no_']"
energía,keto,"['- además , mejorar el energía y el rendimiento cognitivo , ya que evitar el pico de azúcar en sangre que poder afectar el concentración', 'yo cansar más facilmente , cuando volver a el plant-based tener más resistencia y mi estado de ánimo mejorar', 'en keto el concentración ser excelente , el energía ser ilimitado , nada más lejos de el baja de rendimiento de el que hablar este hombre']","['en mi caso , no_sólo no_ser no_estreñimiento , fatiga y malestar físico , también ser el llamado "" keto rash "" ( que ser uno respuesta inmune que consistir en el aparición de granito rojo con mucho comezón y ardor en el zona del tórax y espalda ) y ser uno tanto complicado batallar con ese reacción en mi piel y justo él detener cuando aumentar mi consumo de carbohidrato ( sin exagerar no_) no_, no_por él tanto , salir de cetosis', 'si uno persona pesar 120 kilo , pero su peso sano ser 80 kilo calcular él sobre ese 80 kilo , es decir , 80 g de proteína al día , entonces buscar uno tabla alimenticio fácilmente en google o cualquiera otro sitio para que yo decir cuántos proteína tener cada alimento , y así entenderer cuál ser el cantidad necesario , por poner uno ejemplo : si 100 g de pollo , o pavo , o ternera , o cordero , contener al igual que el pescado uno 20 g de proteína por cada 100 g entonces en este caso que hablar deberíar más o menos dividir en el tres comida ese 80 g de proteína , no_ocurrir no_nada no_si yo pasar uno poco , si ocurrir cuando yo quedar corto porque ese ir a crear uno déficit paulatinamente , el fin ser el mismo , que nuestro cuerpo utilizar el grasa como energía en vez de el hidrato de carbono , y posteriormente él volver eficiente , él que él llamar flexibilidad , metabólico , utilizar ambos fuente sin crear ninguno problema , magnífico como siempre maestro , uno placer enorme ver cada uno de tu enseñanza y saber que estar aquí con yo para siempre y así ir a seguir ser , fíjatar el gran familia que has dejar junto a tú , ese hablar por él mismo , uno abrazo enorme para todo familia , el poder del metabolismo y gracia por compartir', 'sí , el grasa ser el macro más densamente calórico , pero sumar que el grasa y el proteína ser más saciant ; que al no_consumir no_casi no_nada de carbohidrato no_haber no_pico no_de insulina , el nivel de glucosa estar estable , y así el cuerpo no_tener no_bajón no_de energía , que de todo forma él conseguir por el cetona , él mandar menos señal de "" hambre ""']"
energía,mediterranea,"['en el noche poder ser uno sopa ( sopa : de tomates/ 1huevo cocido dentro , uno de frijoj , sopa de lenteja acompañado de papita cocida uno pescado ho uno pechuga de pollo , en otro comida poder ser uno bistec a el plancha , mientras mas simple mejor , permitido 1 copita de vino en el comida para aportar su beneficio nutricional , ( vino tinto ) recordar que el base de el hidratación este en el agua en el té a él largo del día ) recordar tener uno buena hora de sueño 7.8 hora por él menos , dormir y descansar ; tomar él 1 hora para comer en el mesa ser uno opción favorable para el calidad de vida , mientras más simple más mediterráneo el alimentación más saludable']","['no_saber no_profundizar no_uno poquito mas alguno de el video viejito osear uno poquito más sobre el dieta mediterráneo o video sobre el sueño sobre el ejercicio o el masa muscular , estar buenísimo mario']"
energía,paleo,"['él bueno : -me sentir mucho mucho mejor físico y mentalmente -podío comer hasta saciar yo -tenir más energía en el transcurso del día', 'comenzar con el dieta paleo hacer uno mes y ser él mejor del mundo , haber mejorar mi rendimiento , dormir mejor , tener más energía y haber perder peso y medida']","['el dieta paleo en fitness no_funcionar no_como no_tal , ser necesario el ingesta moderado de carbo hidrato , por el quema de energía que demandar el ejercicio', 'yo encantar que todo experimentir este sensación de bienestar , energía que sentir , el vivir inchado y con dolor y frío no_ser no_natural no_, el estar cansado después de comer no_ser no_el no_función de el alimento , él que comer yo tener que dar energía y lucidez ...', 'mi esposo bajo 22 kg en 3 mes con el dieta paleo pero él más asombroso ser el energía que él subir además el cambio de humor y él él ser el dolor de articulación entr e otro']"
energía,vegana,"['él venir implementar hacer 9 día y mi nivel de energía haber mejorar , además aún poder hacer pesa en el gimnasio', 'tengi 64 ano y cada vez yo sentir mejor y mas energia .', 'yo ser vegana antes de ser él estar en sobre peso yo doler todo pre diabética tener 5 año yo ciento fenomenal lleno de energía yo ver más joven mi salud en general mejorar uno 100 x 100 mil gracia x su consejo doctor']","['hacer 6 año decidir ser vegana por el animal y adoptar uno vida sin crueldad animal en él posible   : : estar saludable yo ver más joven , mi piel estar radiante , tener energía y ya no_tener no_alergia no_', 'no_yo no_enfermar no_, poseer regeneracion rapida y mucho energia', 'y entonces porque tú él pasa vender producto vitaminico , ese ser tu farmacia ( tu minito de oro ) porque no_decir no_"" no_traguén puro animal y no_necesitar no_mi no_producto "" cada quien que tratar su cuerpo como quiera , al fin y al cabo ser su cuerpo , si querer estar comer carne y su derivado lleno de antibiótico , hormona y como 100 medicamento que él poner pues que él consumar , y quien querer seguir uno alimentación basado en planta que estar bien informado ( sin ver a el anorexica de yovana , que antes ser rawvana y escondiar su enfermedad a través del veganismo y después él usar como mina de oro , lucrar a través del mismo ) obtener todo el nutrient , excluir el vitamina b12 el cual no_ya no_él no_encontrar en el animal , ya que el agua estar tanto contaminado o clorado que ya no_él no_reproducir no_el bacteria que hacer el b12 , pues que seguir uno dieta vegán , yo yo hacer estudio clínico de todo y no_tener no_ninguno no_deficiencia ni yo doler nada , estar a más del 100 con el energía súper elevedar y mi dieta ser basar solo en planta ( obvio , si tomar uno solo suplemento de b12 ) así que cada quien , quien querer informar él , infórmese bien , bendición para todo .']"
hambre,ayuno,"['haber bajar 9,5kg en 1 mes solo comer uno vez al dia a el 7 pm , ( 23 hora sin comer y uno comer ) ni en mi mejor momento matandome de hambre y hacer demasiado hiit y pesa diario él más que logré ser 8 kilo , al contrario con el ayuno que él hacer con amor y consciencia cuidar mi microbioma intestintal', 'mucho frecuente , poder decir que en el analítica de sangre haber mejorar muchísimo con respecto a el glucosa y colesterol , que yo encontrar mucho mejor , dormir perfectamente , controlo el ansiedad del hambre y que recomendar este dieta a todo el mundo', 'por mi trabajo pero al final del dia comiar con super hambre , y el cosa incorrecto porsupuesto , ahora él empeze comer maz zaludable y empeze por el sobrepeso q llevar , y si haber bajar 15 libras en 2 semana pero al mismo tiempo empeze a notar q teniar mas energia , y mi respiracion él haber mejorar tanto']","['d.- él que , este sacerdote , no_él no_decir no_a su ingenuo creyente , ser que , este del ayuno , él inventar en el edad de el colonia , cuando el indio ser tratar peor que , animal , por el re catoliquísimo español , quien él hacer trabajar de sol a sol , sin salario justo , ni beneficio , ni prestación , y bien asi muerto de hambre , quien al quejar él ante el frail y sacerdote , en lugar de conseguir él uno menos peor alimentación , al contrario , l inventar el ayuno , y así él quitar al mes 4 comida más , ah , pero él dejar sin tocar el desayuno , y él recomendar y autorizar que , desayunar doble o triple , aclaro que , como desayuno , él dar uno vaso con agua', '4.- él que , este sacerdote , no_él no_decir no_a su ingenuo creyente , ser que , este del ayuno , él inventar en el edad de el colonia , cuando el indio ser tratar peor que , animal , por el re catoliquísimo español , quien él hacer trabajar de sol a sol , sin salario justo , ni beneficio , ni prestación , y bien asi muerto de hambre , quien al quejar él ante el frail y sacerdote , en lugar de conseguir él uno menos peor alimentación , al contrario , l inventar el ayuno , y así él quitar al mes 4 comida más , ah , pero él dejar sin tocar el desayuno , y él recomendar y autorizar que , desayunar doble o triple , aclaro que , como desayuno , él dar uno vaso con agua', 'obviir que uno él sentir cansado , mareado y débil en el ayuno largo , pero no_yo no_sentir no_con mucho hambre']"
hambre,flexible,[],"['el dieta regular no_ser no_uno no_castigo , a mi yo gustar más "" morime de hambre "" , sentir que ser uno experiencia mucho productivo', 'el dieta flexible sin duda ser sentido comun , el persona que yo gustar este estilo de vida , pero ser mortal con antojo , nadie poder comer limpio todo su vida , ni el competidor ; tu él menciona , dejar el pensamiento binario , tal vez formar uno estilo de alimentacion que si ser sustentable y no_dejarer no_a no_el poco semana para jamas querer regresar', 'así no_él no_matar no_de hambre']"
hambre,keto,[],"['sí , el grasa ser el macro más densamente calórico , pero sumar que el grasa y el proteína ser más saciant ; que al no_consumir no_casi no_nada de carbohidrato no_haber no_pico no_de insulina , el nivel de glucosa estar estable , y así el cuerpo no_tener no_bajón no_de energía , que de todo forma él conseguir por el cetona , él mandar menos señal de "" hambre ""', 'el cuerpo cetógenico en conjunto con el nivel de glucosa e insulín estable suprimar el hambre y el necesidad de comer , porque el cuerpo tener suficiente energía mientras comas grasa , por él tanto , prácticamente no_comes no_más no_caloría de el que necesitir', 'empezar el 5 de junio de 2022 , siempre haber estar gordo , a pesar de que no_comer no_grasa no_, poco pasta , y poco arroz , comer según el pirámide , mucho "" y que sano "" , bueno en total que yo enteer de este tipo de alimentación y empezar , ya hoy 3/11/2022 haber pasar de 125kg a 95kg , haber perder 30 kilo , yo no_yo no_haber no_medir ni el azúcar ni el cetona durante este período , al comienzo yo dar él que llamar el gripe keto y mucho calambre , después descubrí que haber que haber que tomar magnesio , vitamina d , hacer ayuno intermitente hasta de 24 hora y yo obligar a comer porque hambre no_yo no_dar no_, ahora hasta hacer ejercicio de lunes a viernes , dormir corrido todo el noche , estar mas activo con mi 62 año , el problema de tensión arterial él yo haber normalizar , ya no_tomar no_el no_medicamento que yo tomar antes , ( losartan , amlodipina , aspirina , clopidogrel , estatinas ) , el problema digestivo ( acidez , reflujo , diarrea frecuente ) él desaparecer ya no_tomar no_omeprazol no_ni nada , él único que aun tomo y él haber reducir de 100 mg a 50 mg ser el levotiroxina']"
hambre,paleo,[],['yo llamar el atención que no_hacer no_mención no_que también el alto ingesta de grasa buena también formar parte de el paleo y que el saciedad él deber a este .']
hambre,vegana,[],"['casi llorooooo con tu ultimo sugerencia , yo estar intentar volver yo vegana pero no_querer no_comer no_cosa tanto guisada como haber ver en otro video y a veces sentir mucho sueño y yo dar hambre , trato de llevar minimo manzana siempre yo , y él yo hacer dificil porque en mi familia , mi hermano ya ser vegano pero este en otro estado , estar solo hacer este , ser uno gran reto en mi vida , pero valer el pena , y como bien decir , ser uno estilo de vida', 'yo sinceramente no_poder no_ser no_vegano ni vegetariano , él que ser cruel alimentarno de el animal pero también yo no_yo no_salir no_de el depredador , uno león o uno tigre y felino ( incluir cocodrilo y otro animal ) no_yo no_comer no_a yo por maldad al contrario él hacer por hambre , por su metabolismo entonces así también yo , comer de otro animal porque ese ser nuestro metabolismo y no_poder no_evitar él no_, esperar y yo tolerar el comunidad vegán pero yo "" ser carnívoro ( no_como no_verdura no_ni vegetal ) ""', 'estar mucho buen , el base de nutrición , y aunque yo no_ser no_vegetarián no_él tener uno base de dato para vegano y el verdad ser que con el receta ser mucho fácil y no_tú no_quedar no_con hambre yo gustar que tener el cantidad de caloría él tú él ir decir y su no_saber no_hacer no_alguno receta solo él buscar en el mismo aplicación por el barrita de abajo y listo solo tener que aprender a usar el aplicación']"
social,ayuno,"['también hacer ayuno de cafeína por ejemplo llevar don mes y medio sin cafeína , y de mucho cosa ayuno de red social el ayuno en todo el aspecto de vida ser de él mejor', 'aclaro que haber ser disciplinar en el horario del ayuno y que además él acompañé con uno mejora en el alimentación y salir a caminar uno 3 km casi todo el día', ') que ser mejor : 1.- saltártelir y punto e ir de cena con amigo 2.- ese dia que saber que haber cena con familia y amigo cambiar el ayuno a 12/12 3.- ese día desayunar tarde y mantener el 16/8 pero hacer que el 8 de ingesta ser de 14h a 22h para poder cenar con libertad']","['tener y haber tener en mi propio familia familiar obeso y el mayoría con severo problema de salud , finalizar su vida postrado en uno cama aunque no_ser no_obeso no_y sufrir muchísimo , pero no_hacer no_deporte no_ni él procupar demasiado por su alimentación', 'en medio , haber mucho cumpleaño , comida calórica que no_poder no_evitar no_por ser reunión familiar , y bastante bollería , factura y bizcocho , fruto del terrible frío que estar hacer y que encima yo no_traer no_, no_sino que mi padre , que ser mucho obeso , traer a diario en grande cantidad', 'al tercer día parar el ayuno , por que en ese tiempo estar vivir con mi familia y temer que notar que no_estar no_comer no_, y por ende él preocuparar , ese junto a que uno negocio no_yo no_estar no_salir bien desde antes del ayuno ..']"
social,flexible,"['lejos el mejor decisión que poder tomar ser haber hacer el dieta flexible , estar mucho feliz con el resultado , además poder hacer tu vida social "" normal "" , es decir , salir a comer o tomar con tu amigo sin sentir tú mal por "" romper "" el dieta , ya que solo tener que ajustar tu macro', 'ser uno increíble app , yo ayudar mucho con mi macros , el único carne en el que tener duda ser en el de cerdo , yo marcar que tener mucho grasa y buscar en tabla nutricuonal de él ros y yo salir menos pero de ahí en fuera , este excelente']","['sin embargo , uno de el desventaja de el dieta flexible ser que no_siempre no_ser no_fácil contar el caloría y el macro , especialmente cuando él comer fuera o en restaurante', 'no_yo no_parecer buen estrategia para utilizar en día específico , nose fines de semana , para almenos no_perder no_tanto no_control en el cheat meal o el día de salir pero para forma de comer base reaente no_, no_quizás no_para sábado o domingo', 'no_defeir no_este no_dieta pero él entender , él promover contar caloría para comerte de vez en cuando uno pizza , hamburguesa o uno tragos y si él ajustar a tu macros tú él puedas comer o tomar sin que salir de tu objetivo']"
social,keto,"[': :   : :   : : super interesante   : :   a pesar de seguirte desde hacer tiempo yo haber costar llevar uno dieta exclusivamente cetogenico , mi alimentación y el de mi familia a pasado a ser baja en carbohidrato , este yo haber permitir mejorar mi salud metabólico , bajar mi glicemia y 15 kilo menos en mi cuerpo , cada dia yo esforzar por ser mas consciente de él que consumo y ser bueno para mi organismo', 'gracias a tu consejo mi salud y el de mi familia haber mejorar notablemente   : :   : :   : :', 'poder afectar el vida social porque si ir a uno restaurante vas a tener mucho restricción con el carbo ( él él pasar decir que ya haber mucho opción keto en el carta ) síntesis : el dieta keto ser él mejor que haber para el organismo']","['por ese haber carnìvoro que , consciente de él malo que ser el carne industrializado y lacteo corriente , haber decidir criar su propio ganado organico en pasto , pero ese si que salir recontra costoso', 'en mi caso , no_sólo no_ser no_estreñimiento , fatiga y malestar físico , también ser el llamado "" keto rash "" ( que ser uno respuesta inmune que consistir en el aparición de granito rojo con mucho comezón y ardor en el zona del tórax y espalda ) y ser uno tanto complicado batallar con ese reacción en mi piel y justo él detener cuando aumentar mi consumo de carbohidrato ( sin exagerar no_) no_, no_por él tanto , salir de cetosis', 'si uno persona pesar 120 kilo , pero su peso sano ser 80 kilo calcular él sobre ese 80 kilo , es decir , 80 g de proteína al día , entonces buscar uno tabla alimenticio fácilmente en google o cualquiera otro sitio para que yo decir cuántos proteína tener cada alimento , y así entenderer cuál ser el cantidad necesario , por poner uno ejemplo : si 100 g de pollo , o pavo , o ternera , o cordero , contener al igual que el pescado uno 20 g de proteína por cada 100 g entonces en este caso que hablar deberíar más o menos dividir en el tres comida ese 80 g de proteína , no_ocurrir no_nada no_si yo pasar uno poco , si ocurrir cuando yo quedar corto porque ese ir a crear uno déficit paulatinamente , el fin ser el mismo , que nuestro cuerpo utilizar el grasa como energía en vez de el hidrato de carbono , y posteriormente él volver eficiente , él que él llamar flexibilidad , metabólico , utilizar ambos fuente sin crear ninguno problema , magnífico como siempre maestro , uno placer enorme ver cada uno de tu enseñanza y saber que estar aquí con yo para siempre y así ir a seguir ser , fíjatar el gran familia que has dejar junto a tú , ese hablar por él mismo , uno abrazo enorme para todo familia , el poder del metabolismo y gracia por compartir']"
social,mediterranea,[],[]
social,paleo,[],"['ser paleo pq mi cuerpo ser asi dado que ninguno de mi familia él adapto a el neoalimentacion , ni tirar aun mas atra del hijo del hijo del hijo ninguno él adapto yo no_como no_nada no_mas que animal que volar y arrastren , tuberculo , fruta de temporada mucho verdura y agua y ademar mi cuerpo expulsar selenio y magnesio y tener que comer él aparte uno extra de ese mineral , él expulsar pq ser paleo pero paleo paleo , ese ser él que mi cuerpo necesitar pero no_significar no_él no_que otro deberiar de hacer , asi como haber mujer y hombre haber cuerpo hecho para cierto alimento paleolitico y neolitico , mi higado por ejemplo fábrica azúcar y carbo ( gluconeogenesis ) no_él no_poder no_meter uno doble dosis , conoscir mi cuerpo pero adema conoscir este del paleo para informar él que el paleo no_ser no_uno no_dieta', 'por él de comer solo local no_estoi no_seguro no_uno africano en el norte de europa no_podrir no_comer no_queso por mucho frio que hacer y por mucho que el europeo si poder tomar queso sin problema , a el él matar incluso si hacer mucho generación que vivir en europa el y su familia', 'el fruta ser uno producto mayormente agrícola y por tanto deber excluir él de el paleo- dieta ; no_tener no_este no_presente poder arruinar el logro de hacer uno dieta paleo : ¡ pero de dónde creéis que haber salir el plátano !']"
